Date,Close/Last,Volume,Open,High,Low
06/28/2024,19927.25,737947,20063.25,20273.25,19906.25
06/27/2024,20039.50,579751,19960.50,20116.75,19874.25
06/26/2024,20012.50,584869,19968.50,20070.50,19901.00
06/25/2024,19972.25,566568,19765.00,19981.25,19726.00
06/24/2024,19750.75,676634,20014.75,20030.25,19728.00
06/21/2024,19982.75,578597,20046.75,20086.00,19914.25
06/20/2024,20031.50,893862,20238.50,20371.00,19958.25
06/18/2024,19919.25,195996,19937.50,19996.50,19851.75
06/17/2024,19921.25,410597,19695.00,20001.00,19640.50
06/14/2024,19685.50,575674,19600.75,19699.50,19501.50
06/13/2024,19602.50,576904,19595.25,19691.00,19500.00
06/12/2024,19496.50,683689,19235.75,19612.25,19233.50
06/11/2024,19242.25,559044,19100.25,19257.50,18994.50
06/10/2024,19109.75,569052,19025.00,19129.75,18974.25
06/07/2024,19037.75,605708,19064.00,19155.00,18940.00
06/06/2024,19060.25,516362,19089.50,19124.50,19017.25
06/05/2024,19074.25,566381,18711.00,19090.50,18696.25
06/04/2024,18701.00,610169,18662.50,18753.25,18511.25
06/03/2024,18646.25,661011,18590.25,18755.50,18435.75
05/31/2024,18591.00,818446,18590.75,18668.25,18241.25
05/30/2024,18606.50,611655,18753.00,18787.00,18546.25
05/29/2024,18802.75,567079,18949.50,18949.75,18740.00
05/28/2024,18940.50,635441,18950.50,18980.50,18819.50
05/24/2024,18876.00,538812,18684.00,18926.00,18680.00
05/23/2024,18696.25,843924,18860.50,19023.25,18621.50
05/22/2024,18786.75,571003,18798.25,18891.00,18684.25
05/21/2024,18799.25,422088,18746.00,18808.75,18678.00
05/20/2024,18763.00,465735,18633.50,18794.50,18633.00
05/17/2024,18635.25,482570,18642.00,18686.75,18545.00
05/16/2024,18650.00,542216,18693.25,18760.75,18633.25
05/15/2024,18691.75,596603,18409.75,18707.00,18393.00
05/14/2024,18415.00,548616,18282.00,18433.00,18165.50
05/13/2024,18295.50,405531,18238.00,18336.25,18228.75
05/10/2024,18255.00,469580,18226.00,18348.00,18188.50
05/09/2024,18214.50,469082,18160.75,18240.25,18103.75
05/08/2024,18186.50,450834,18194.00,18242.25,18072.50
05/07/2024,18199.50,464940,18189.50,18266.25,18151.00
05/06/2024,18195.50,389469,18047.50,18201.25,17983.75
05/03/2024,18000.75,547081,17744.25,18050.25,17719.50
05/02/2024,17649.75,627390,17487.00,17755.25,17386.25
05/01/2024,17438.25,781201,17462.50,17793.25,17399.25
04/30/2024,17571.25,667178,17918.50,17920.25,17473.50
04/29/2024,17904.25,525490,17864.75,17949.00,17791.25
04/26/2024,17845.75,620476,17808.25,17901.50,17668.25
04/25/2024,17567.50,808799,17450.00,17827.50,17308.25
04/24/2024,17664.50,660123,17682.00,17795.50,17481.75
04/23/2024,17606.75,592902,17352.25,17666.00,17286.25
04/22/2024,17350.00,633920,17228.25,17448.00,17148.50
04/19/2024,17180.75,1012695,17530.75,17553.25,17113.25
04/18/2024,17547.25,749861,17669.75,17770.75,17506.25
04/17/2024,17658.50,835862,17897.00,17968.50,17615.25
04/16/2024,17881.25,759303,17879.00,17988.00,17792.00
04/15/2024,17876.25,788744,18151.00,18350.75,17841.50
04/12/2024,18179.25,770757,18486.25,18507.75,18120.25
04/11/2024,18485.00,718582,18184.00,18518.75,18088.00
04/10/2024,18196.75,863059,18381.00,18474.25,18053.50
04/09/2024,18359.75,691192,18314.75,18407.25,18160.75
04/08/2024,18295.00,521193,18348.25,18376.00,18237.50
04/05/2024,18300.75,796179,18086.25,18408.25,18051.50
04/04/2024,18076.75,762137,18388.50,18568.00,18055.25
04/03/2024,18373.25,587722,18345.00,18451.75,18232.50
04/02/2024,18330.00,606900,18497.25,18511.00,18201.50
04/01/2024,18497.25,562901,18503.00,18612.00,18414.50
03/28/2024,18475.00,505559,18505.00,18538.75,18447.50
03/27/2024,18503.75,594550,18477.50,18571.75,18378.50
03/26/2024,18449.00,511102,18531.25,18619.00,18439.25
03/25/2024,18513.50,452098,18567.00,18601.25,18414.75
03/22/2024,18574.75,505440,18580.50,18626.00,18492.00
03/21/2024,18561.75,599748,18539.75,18709.00,18526.75
03/20/2024,18479.75,608977,18274.00,18545.00,18227.50
03/19/2024,18270.00,654414,18222.00,18289.25,18053.25
03/18/2024,18231.50,644800,18073.50,18381.00,18062.25
03/15/2024,18058.75,678085,18251.00,18322.75,18006.25
03/14/2024,18271.75,814184,18342.00,18428.25,18161.25
03/13/2024,18078.50,170668,18218.00,18256.50,18033.25
03/12/2024,18227.75,272227,18010.50,18241.75,17930.00
03/11/2024,17971.00,465594,18056.00,18068.25,17890.50
03/08/2024,18046.75,1035986,18279.00,18436.50,18012.50
03/07/2024,18316.25,751830,18041.00,18360.00,17915.75
03/06/2024,18044.25,800576,17981.00,18174.25,17942.50
03/05/2024,17930.25,788530,18246.00,18252.00,17832.50
03/04/2024,18262.00,563068,18336.00,18377.75,18234.25
03/01/2024,18338.25,628797,18075.00,18372.75,18029.50
02/29/2024,18082.75,672186,17870.00,18109.50,17826.00
02/28/2024,17915.25,547435,18017.50,18019.75,17846.25
02/27/2024,18021.00,563763,17951.00,18040.25,17908.75
02/26/2024,17977.00,520783,17961.50,18059.50,17922.00
02/23/2024,17991.00,651718,18023.25,18144.75,17946.00
02/22/2024,18047.50,746594,17702.50,18087.00,17676.00
02/21/2024,17536.75,718203,17573.00,17723.00,17372.75
02/20/2024,17607.25,880047,17787.75,17807.50,17452.50
02/16/2024,17744.00,734139,17952.00,18026.00,17715.00
02/15/2024,17912.75,654026,17870.00,17968.25,17780.50
02/14/2024,17881.00,683386,17703.00,17887.00,17669.25
02/13/2024,17676.75,842633,17928.50,17963.25,17542.00
02/12/2024,17965.00,533796,18040.00,18121.50,17911.25
02/09/2024,18039.25,491033,17854.25,18071.00,17852.25
02/08/2024,17868.25,465128,17856.25,17896.50,17792.25
02/07/2024,17841.75,603724,17645.75,17875.50,17629.75
02/06/2024,17660.00,617170,17698.50,17769.00,17560.75
02/05/2024,17700.00,615101,17696.00,17745.50,17554.25
02/02/2024,17732.75,750536,17588.00,17775.50,17465.50
02/01/2024,17436.75,697994,17273.25,17646.75,17262.75
01/31/2024,17242.25,804050,17415.50,17484.00,17221.50
01/30/2024,17588.50,547660,17711.75,17735.75,17467.00
01/29/2024,17706.00,560930,17502.00,17716.25,17457.50
01/26/2024,17527.00,626231,17571.25,17632.00,17466.00
01/25/2024,17634.50,702684,17614.75,17752.00,17542.00
01/24/2024,17621.00,711690,17554.00,17793.50,17552.25
01/23/2024,17531.25,501030,17461.00,17558.25,17409.50
01/22/2024,17458.50,626094,17466.00,17585.00,17434.00
01/19/2024,17438.50,728404,17116.00,17448.00,17107.25
01/18/2024,17110.00,822308,16854.50,17125.75,16834.25
01/17/2024,16869.75,705516,16978.00,16982.00,16689.25
01/16/2024,16966.50,806735,16961.00,17033.75,16811.75
01/12/2024,16969.25,587807,16957.75,17042.50,16866.50
01/11/2024,16966.25,748822,16955.00,17057.00,16753.00
01/10/2024,16945.25,544174,16829.50,16983.00,16801.50
01/09/2024,16830.25,598121,16788.00,16868.50,16657.75
01/08/2024,16803.75,537902,16470.00,16811.25,16378.25
01/05/2024,16460.25,620914,16455.00,16577.25,16334.25
01/04/2024,16445.00,551435,16545.25,16587.25,16436.00
01/03/2024,16538.00,668605,16736.75,16737.25,16522.00
01/02/2024,16720.00,634412,17019.00,17038.50,16622.50
12/29/2023,17023.50,461038,17090.25,17131.00,16938.25
12/28/2023,17090.50,353168,17127.00,17165.25,17077.75
12/27/2023,17113.25,417149,17090.25,17133.00,17055.50
12/26/2023,17083.50,286290,16964.50,17111.25,16964.50
12/22/2023,16980.00,478795,16956.00,17041.50,16891.50
12/21/2023,16956.50,619997,16790.25,16970.25,16790.25
12/20/2023,16766.25,643249,17024.00,17073.50,16758.50
12/19/2023,17023.00,487851,16917.00,17029.50,16910.75
12/18/2023,16939.75,447933,16820.25,16974.00,16802.25
12/15/2023,16820.25,649250,16739.25,16887.25,16732.25
12/14/2023,16753.00,782167,16777.50,16885.00,16628.00
12/13/2023,16777.25,667149,16596.00,16806.50,16576.00
12/12/2023,16362.75,245781,16240.00,16389.50,16185.25
12/11/2023,16237.00,384635,16093.00,16248.00,16045.50
12/08/2023,16098.25,582019,16017.50,16118.75,15888.25
12/07/2023,16038.75,626255,15814.50,16066.00,15791.00
12/06/2023,15815.25,667019,15897.00,16037.75,15802.00
12/05/2023,15908.75,677305,15863.25,15961.00,15761.25
12/04/2023,15869.00,710079,15968.50,15976.25,15721.25
12/01/2023,16023.75,617079,15955.00,16050.00,15864.00
11/30/2023,15985.50,677209,16040.25,16098.50,15856.00
11/29/2023,16023.75,629590,16055.50,16208.50,16013.50
